"Keyword","Avg. Search Volume (Last Known Values)","Avg. Search Volume (Last 12 months)","Avg. Search Volume (Last 6 months)","Avg. Search Volume (Last 3 months)","Location","CPC/USD","PPC","Keyword Difficulty","Keyword interest growth (%)","Content Type","Search Intent","Keyword Opportunities","Serp Features","Search Volume 4/2015","Search Volume 5/2015","Search Volume 6/2015","Search Volume 7/2015","Search Volume 8/2015","Search Volume 9/2015","Search Volume 10/2015","Search Volume 11/2015","Search Volume 12/2015","Search Volume 1/2016","Search Volume 2/2016","Search Volume 3/2016","Search Volume 4/2016","Search Volume 5/2016","Search Volume 6/2016","Search Volume 7/2016","Search Volume 8/2016","Search Volume 9/2016","Search Volume 10/2016","Search Volume 11/2016","Search Volume 12/2016","Search Volume 1/2017","Search Volume 2/2017","Search Volume 3/2017","Search Volume 4/2017","Search Volume 5/2017","Search Volume 6/2017","Search Volume 7/2017","Search Volume 8/2017","Search Volume 9/2017","Search Volume 10/2017","Search Volume 11/2017","Search Volume 12/2017","Search Volume 1/2018","Search Volume 2/2018","Search Volume 3/2018","Search Volume 4/2018","Search Volume 5/2018","Search Volume 6/2018","Search Volume 7/2018","Search Volume 8/2018","Search Volume 9/2018","Search Volume 10/2018","Search Volume 11/2018","Search Volume 12/2018","Search Volume 1/2019","Search Volume 2/2019","Search Volume 3/2019","Search Volume 4/2019","Search Volume 5/2019","Search Volume 6/2019","Search Volume 7/2019","Search Volume 8/2019","Search Volume 9/2019","Search Volume 10/2019","Search Volume 11/2019","Search Volume 12/2019","Search Volume 1/2020","Search Volume 2/2020","Search Volume 3/2020","Search Volume 4/2020","Search Volume 5/2020","Search Volume 6/2020","Search Volume 7/2020","Search Volume 8/2020","Search Volume 9/2020","Search Volume 10/2020","Search Volume 11/2020","Search Volume 12/2020","Search Volume 1/2021","Search Volume 2/2021","Search Volume 3/2021","Search Volume 4/2021","Search Volume 5/2021","Search Volume 6/2021","Search Volume 7/2021","Search Volume 8/2021","Search Volume 9/2021","Search Volume 10/2021","Search Volume 11/2021","Search Volume 12/2021","Search Volume 1/2022","Search Volume 2/2022","Search Volume 3/2022","Search Volume 4/2022","Search Volume 5/2022","Search Volume 6/2022","Search Volume 7/2022","Search Volume 8/2022","Search Volume 9/2022","Search Volume 10/2022","Search Volume 11/2022","Search Volume 12/2022","Search Volume 1/2023","Search Volume 2/2023","Search Volume 3/2023","Search Volume 4/2023","Search Volume 5/2023","Search Volume 6/2023","Search Volume 7/2023","Search Volume 8/2023","Search Volume 9/2023","Search Volume 10/2023","Search Volume 11/2023","Search Volume 12/2023","Search Volume 1/2024","Search Volume 2/2024","Search Volume 3/2024","Search Volume 4/2024","Search Volume 5/2024","Search Volume 6/2024","Search Volume 7/2024","Search Volume 8/2024","Search Volume 9/2024","Search Volume 10/2024","Search Volume 11/2024","Search Volume 12/2024","Search Volume 1/2025","Search Volume 2/2025","Search Volume 3/2025","Search Volume 4/2025","Search Volume 5/2025","Search Volume 6/2025","Search Volume 7/2025","Search Volume 8/2025","Search Volume 9/2025","Search Volume 10/2025","Search Volume 11/2025","Search Volume 12/2025"
"гороскоп близнецы женщина",560,530,420,360,"Anywhere","",0,"",-56,"","","","","","","","","","720","880","880","880","1000","880","880","720","1000","880","720","1000","1000","1000","880","880","1300","1300","1300","1600","1900","1900","1600","1300","1600","1900","1900","1900","1600","1600","1900","2400","2400","1900","1900","2400","2400","5400","4400","3600","4400","3600","3600","2900","2400","2400","1900","1900","1600","1900","1600","1600","1300","1000","1000","1000","1000","1000","1000","","","","","","","","","","","","","","","","","",1600,1000,1000,1300,1600,1300,1300,1000,1000,1300,1000,1300,1600,1000,1300,1000,1000,1000,880,880,880,880,880,880,1300,1300,1000,1300,1300,1000,1000,880,1000,1000,880,880,880,880,720,590,590,590,480,480,480,390,390,320
"гороскоп близнецы женщина на завтра",330,320,320,320,"Anywhere","",0,"",-34,"","","","","","","","","","90","90","90","70","170","140","140","140","170","90","110","140","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","320","390","260","210","260","320","210","210","260","320","260","210","","","","","","","","","","","","","","","","","","","","","","","",390,390,320,320,390,320,390,590,590,480,480,590,590,480,590,480,480,480,480,480,590,480,480,590,590,590,590,590,590,390,480,480,590,480,390,390,390,390,390,320,320,260,320,320,320,320,320,320
"гороскоп близнецы женщина на сегодня",450,440,450,480,"Anywhere","",0,"",-28,"","","","","","","","","","170","260","210","260","260","320","390","390","480","320","320","480","","","","","","","","","","","","","","","","720","720","590","590","720","880","720","720","720","880","1300","1300","1000","1300","1000","1000","1000","880","880","720","720","880","880","","","","","","","","","","","","","","","","","","","","","","","","","","",880,590,720,590,720,590,590,720,590,720,720,720,880,720,880,880,880,720,720,880,720,880,880,720,720,720,720,720,880,720,720,590,720,720,590,590,480,480,480,390,390,480,480,390,390,590,480,390
"гороскоп близнецы завтра",460,440,430,450,"Anywhere","",0,"",-7,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","880","720","720","720","720","720","720","880","880","880","880","880","","","","1000","1000","880","880","590","720","880","880","880","1000","1000","1000","","","","","","","","","","","","","","","","","","","","","","",590,590,590,590,590,590,480,590,590,590,590,590,720,590,590,590,720,720,590,720,590,590,720,720,720,720,590,720,480,480,590,480,480,390,480,480,590,480,590,480,390,390,480,390,390,480,390,480
"гороскоп близнецы июнь 2022",,,,,"Anywhere","",,"",0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",10,20,30,210,1900,1900,140,30,10,10,10,10,10,10,0,10,10,10,0,10,10,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"гороскоп близнецы любовный",710,690,620,510,"Anywhere","",0,"",-57,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2900,2400,2400,2900,2900,2900,2900,2900,2400,2900,2400,2900,2900,2400,2400,2400,1900,1900,1900,1900,2400,1900,1900,1600,1900,1900,1900,1600,1900,1900,1900,1300,1300,1300,1000,880,880,880,880,720,720,720,880,720,590,480,480,590
"гороскоп близнецы любовный для одиноких",320,310,260,240,"Anywhere","",0,"",-56,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",320,320,320,390,390,480,390,480,390,480,480,390,390,320,390,480,590,390,320,480,590,590,590,720,720,720,720,720,720,590,590,480,480,720,590,590,480,390,390,390,390,320,260,260,320,260,210,260
"гороскоп близнецы май 2022",10,10,10,,"Anywhere","",,"",100,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",20,40,390,2900,2900,110,40,20,10,20,10,10,10,10,10,20,10,0,10,0,10,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0
"гороскоп близнецы майл ру",190,180,170,160,"Anywhere","",0,"",-30,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",480,480,390,390,390,480,390,320,320,320,390,320,320,260,320,260,260,260,210,210,170,140,210,260,210,210,210,210,260,210,260,170,260,260,210,210,210,210,210,210,210,210,210,170,170,170,170,140
"гороскоп близнецы мужчина",170,160,150,150,"Anywhere","",0,"",-53,"","","","","","","","","","480","590","590","480","590","480","590","590","590","720","590","590","","","","","","","","","","","","","","","","","","","","720","1000","1000","880","720","880","1000","1000","1000","1000","880","1000","880","880","720","720","720","590","720","720","480","","","","","","","","","","","","","","","","","","","","","","","","",880,720,720,720,880,720,590,590,480,590,720,720,720,590,590,480,480,480,390,320,320,390,480,480,590,480,590,590,590,590,320,260,320,260,320,320,320,210,170,170,210,170,170,170,110,140,170,140
