"Keyword","Avg. Search Volume (Last Known Values)","Avg. Search Volume (Last 12 months)","Avg. Search Volume (Last 6 months)","Avg. Search Volume (Last 3 months)","Location","CPC/USD","PPC","Keyword Difficulty","Keyword interest growth (%)","Content Type","Search Intent","Keyword Opportunities","Serp Features","Search Volume 4/2015","Search Volume 5/2015","Search Volume 6/2015","Search Volume 7/2015","Search Volume 8/2015","Search Volume 9/2015","Search Volume 10/2015","Search Volume 11/2015","Search Volume 12/2015","Search Volume 1/2016","Search Volume 2/2016","Search Volume 3/2016","Search Volume 4/2016","Search Volume 5/2016","Search Volume 6/2016","Search Volume 7/2016","Search Volume 8/2016","Search Volume 9/2016","Search Volume 10/2016","Search Volume 11/2016","Search Volume 12/2016","Search Volume 1/2017","Search Volume 2/2017","Search Volume 3/2017","Search Volume 4/2017","Search Volume 5/2017","Search Volume 6/2017","Search Volume 7/2017","Search Volume 8/2017","Search Volume 9/2017","Search Volume 10/2017","Search Volume 11/2017","Search Volume 12/2017","Search Volume 1/2018","Search Volume 2/2018","Search Volume 3/2018","Search Volume 4/2018","Search Volume 5/2018","Search Volume 6/2018","Search Volume 7/2018","Search Volume 8/2018","Search Volume 9/2018","Search Volume 10/2018","Search Volume 11/2018","Search Volume 12/2018","Search Volume 1/2019","Search Volume 2/2019","Search Volume 3/2019","Search Volume 4/2019","Search Volume 5/2019","Search Volume 6/2019","Search Volume 7/2019","Search Volume 8/2019","Search Volume 9/2019","Search Volume 10/2019","Search Volume 11/2019","Search Volume 12/2019","Search Volume 1/2020","Search Volume 2/2020","Search Volume 3/2020","Search Volume 4/2020","Search Volume 5/2020","Search Volume 6/2020","Search Volume 7/2020","Search Volume 8/2020","Search Volume 9/2020","Search Volume 10/2020","Search Volume 11/2020","Search Volume 12/2020","Search Volume 1/2021","Search Volume 2/2021","Search Volume 3/2021","Search Volume 4/2021","Search Volume 5/2021","Search Volume 6/2021","Search Volume 7/2021","Search Volume 8/2021","Search Volume 9/2021","Search Volume 10/2021","Search Volume 11/2021","Search Volume 12/2021","Search Volume 1/2022","Search Volume 2/2022","Search Volume 3/2022","Search Volume 4/2022","Search Volume 5/2022","Search Volume 6/2022","Search Volume 7/2022","Search Volume 8/2022","Search Volume 9/2022","Search Volume 10/2022","Search Volume 11/2022","Search Volume 12/2022","Search Volume 1/2023","Search Volume 2/2023","Search Volume 3/2023","Search Volume 4/2023","Search Volume 5/2023","Search Volume 6/2023","Search Volume 7/2023","Search Volume 8/2023","Search Volume 9/2023","Search Volume 10/2023","Search Volume 11/2023","Search Volume 12/2023","Search Volume 1/2024","Search Volume 2/2024","Search Volume 3/2024","Search Volume 4/2024","Search Volume 5/2024","Search Volume 6/2024","Search Volume 7/2024","Search Volume 8/2024","Search Volume 9/2024","Search Volume 10/2024","Search Volume 11/2024","Search Volume 12/2024","Search Volume 1/2025","Search Volume 2/2025","Search Volume 3/2025","Search Volume 4/2025","Search Volume 5/2025","Search Volume 6/2025","Search Volume 7/2025","Search Volume 8/2025","Search Volume 9/2025","Search Volume 10/2025","Search Volume 11/2025","Search Volume 12/2025"
"1 1 гороскоп",1700,1600,1500,1500,"Anywhere","",0,"",-17,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1600,1600,320,720,1300,1300,1600,1900,1900,1900,1900,1900,1900,1600,2400,2400,2400,2400,1900,1900,1900,2400,2400,2400,2400,1900,1900,1900,1900,1900,1900,1600,1600,1900,1900,2400,2900,1900,1900,1900,1900,1600,1600,1600,1300,1600,1600,1300
"1 августа знак зодиака",4000,4000,4300,2900,"Anywhere","",0,"",-30,"","","","","","","","","","","","","","","","","1300","1300","1300","1900","2400","1300","1600","1300","1600","1600","1600","1600","","","","","","","","","","","","","1600","1600","1900","2900","2900","1600","1900","1900","2400","1900","1600","1900","1900","1900","1900","2900","2900","1900","","","","","","","","","","","","","","","4400","5400","4400","5400","5400","5400","5400","8100","8100","4400","5400","5400","",5400,3600,4400,4400,4400,4400,6600,6600,3600,4400,4400,4400,4400,3600,4400,3600,4400,4400,6600,8100,3600,3600,4400,5400,4400,4400,4400,4400,4400,4400,8100,8100,3600,4400,4400,4400,4400,3600,3600,3600,3600,3600,6600,8100,2900,2900,2900,2900
"1 апреля знак зодиака",6200,6000,5400,5400,"Anywhere","",0,"",-18,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2900","2900","2900","2900","2900","3600","3600","2900","3600","3600","3600","2900","3600","3600","3600","4400","4400","4400","5400","4400","6600","6600","4400","4400","5400","4400","5400","6600","8100","8100","8100","8100","12100","9900","8100","8100","9900","8100","8100","8100","8100","",8100,6600,12100,9900,6600,6600,6600,6600,6600,6600,6600,6600,8100,6600,9900,9900,6600,5400,6600,6600,6600,6600,6600,6600,8100,6600,9900,9900,6600,6600,6600,6600,6600,6600,6600,6600,8100,6600,9900,8100,5400,4400,5400,5400,5400,5400,5400,5400
"1 июля знак зодиака",5800,5700,5100,4400,"Anywhere","",0,"",-24,"","","","","","","","","","","","","","","","","","","","","","","","","","","","1900","1900","1900","2900","2900","2400","2400","2400","2400","2400","2900","2400","","2400","2900","3600","3600","2900","2400","2900","2900","2900","3600","2900","2900","2900","3600","4400","4400","3600","2900","4400","3600","4400","5400","4400","4400","5400","5400","6600","6600","4400","4400","5400","5400","6600","6600","6600","6600","6600","8100","9900","9900","8100","6600","6600","6600","",6600,5400,6600,5400,6600,8100,9900,5400,6600,6600,6600,5400,6600,5400,5400,5400,6600,8100,8100,5400,5400,5400,5400,5400,6600,5400,6600,6600,6600,9900,9900,5400,5400,6600,5400,5400,6600,5400,5400,8100,5400,8100,8100,5400,4400,4400,4400,4400
"1 июня знак зодиака",5800,5700,4700,4700,"Anywhere","",0,"",-33,"","","","","","","","","","","","","","","","","","","","","","","","","","","","2400","2400","3600","2900","2400","2400","2400","2900","2900","2900","3600","2900","","2900","4400","4400","2900","2900","2900","3600","3600","3600","4400","3600","3600","3600","5400","4400","4400","4400","3600","4400","4400","5400","6600","5400","5400","5400","8100","6600","5400","5400","5400","6600","8100","6600","8100","8100","8100","9900","12100","9900","9900","8100","8100","8100","8100","",9900,8100,8100,8100,12100,9900,6600,6600,6600,8100,6600,6600,8100,6600,8100,8100,12100,12100,6600,6600,5400,6600,6600,6600,8100,6600,6600,8100,9900,12100,6600,6600,6600,6600,6600,6600,6600,5400,6600,6600,8100,8100,5400,4400,4400,4400,4400,5400
"1 ноября знак зодиака",4500,4400,4800,5600,"Anywhere","",0,"",-30,"","","","","","","","","","","","","","","","","","","","","","","","","","","","1900","1900","1900","1600","1900","1900","1900","2900","2900","2400","2400","1900","","2400","2400","1900","2400","2400","2400","3600","3600","2900","2400","1900","2400","2400","2400","2400","2900","2900","2900","4400","5400","3600","4400","3600","3600","3600","3600","3600","4400","4400","4400","8100","8100","5400","6600","5400","6600","5400","6600","5400","6600","6600","6600","9900","9900","",5400,4400,5400,5400,5400,5400,5400,5400,5400,9900,8100,5400,5400,4400,5400,4400,4400,4400,4400,5400,5400,9900,8100,4400,5400,4400,4400,4400,5400,5400,5400,5400,5400,9900,9900,4400,5400,4400,4400,3600,3600,3600,3600,4400,4400,6600,6600,3600
"1 октября знак зодиака",6200,6200,6700,6500,"Anywhere","",0,"",-18,"","","","","","","","","","","","","","","","","","","","","","","","","","","","1900","1900","2400","1900","1900","2400","2900","2900","2400","2400","2900","2400","","2400","2400","2400","2900","2900","3600","4400","2900","3600","2900","2400","2400","2900","2900","3600","3600","3600","4400","5400","3600","3600","5400","4400","4400","4400","4400","4400","4400","5400","8100","9900","8100","6600","8100","8100","8100","8100","8100","8100","8100","8100","12100","12100","8100","",8100,6600,6600,6600,6600,6600,6600,6600,9900,9900,6600,6600,6600,6600,6600,6600,5400,5400,6600,6600,12100,14800,5400,5400,6600,6600,6600,6600,6600,6600,6600,6600,12100,12100,6600,6600,6600,5400,6600,5400,5400,5400,5400,5400,9900,9900,5400,4400
"1 февраля знак зодиака",5300,4900,4500,4700,"Anywhere","",0,"",-19,"","","","","","","","","","","","","","","","","","","","","","","","","","","","1900","1900","1900","1900","2400","2400","2400","2400","2400","1900","3600","3600","","2400","2400","2400","2900","2900","2400","2900","2900","3600","4400","3600","2900","2900","2900","2400","2900","3600","2900","3600","3600","4400","6600","5400","4400","4400","4400","4400","4400","4400","4400","5400","6600","6600","12100","9900","6600","6600","6600","6600","8100","8100","6600","6600","8100","",12100,9900,6600,6600,6600,6600,6600,5400,5400,6600,6600,6600,12100,8100,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,12100,9900,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,9900,8100,5400,4400,4400,4400,4400,4400,4400,4400,4400,5400
"1 января знак зодиака",5300,5000,5100,5800,"Anywhere","",0,"",-23,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5400","3600","3600","4400","4400","4400","4400","4400","4400","5400","8100","8100","9900","6600","8100","6600","8100","6600","8100","8100","6600","6600","8100","",8100,5400,6600,6600,6600,5400,6600,6600,6600,6600,6600,8100,8100,5400,5400,5400,5400,5400,5400,6600,5400,6600,6600,8100,8100,5400,5400,5400,5400,6600,6600,6600,6600,6600,6600,8100,8100,5400,5400,4400,5400,4400,4400,4400,4400,5400,5400,6600
"10 апреля знак зодиака",5100,5100,4200,4400,"Anywhere","",0,"",-23,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4400","3600","4400","8100","4400","3600","4400","4400","4400","5400","5400","5400","6600","6600","8100","12100","6600","5400","6600","6600","6600","6600","6600","",6600,5400,6600,9900,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,6600,9900,4400,4400,4400,5400,4400,5400,4400,4400,5400,5400,6600,12100,5400,5400,5400,5400,5400,5400,5400,5400,5400,4400,6600,12100,4400,3600,4400,4400,3600,4400,4400,4400
"10 декабря знак зодиака",5000,4900,5400,6500,"Anywhere","",0,"",-24,"","","","","","","","","","","","","","","","","","","","","","","","","","","","1900","1900","1900","1900","1900","2400","2400","2400","2900","3600","2900","2400","","2400","2400","2400","2400","2400","2400","2900","2900","4400","3600","2400","2400","2400","2900","2900","2900","2900","2900","3600","4400","6600","4400","4400","4400","4400","4400","4400","5400","4400","4400","5400","6600","9900","6600","6600","6600","6600","6600","6600","6600","6600","6600","6600","8100","",6600,5400,5400,5400,5400,5400,5400,5400,5400,6600,6600,9900,6600,5400,5400,5400,4400,4400,5400,5400,5400,5400,6600,12100,5400,5400,5400,5400,5400,5400,5400,5400,5400,6600,6600,12100,5400,4400,4400,4400,4400,4400,4400,4400,4400,4400,5400,9900
"10 июля знак зодиака",5000,4900,5100,4400,"Anywhere","",0,"",-23,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2900","2400","2900","2900","2900","2900","5400","3600","2900","3600","3600","4400","4400","3600","4400","4400","3600","4400","6600","4400","4400","4400","5400","5400","5400","5400","5400","5400","6600","6600","9900","6600","6600","6600","6600","",6600,5400,5400,5400,5400,6600,9900,5400,4400,5400,5400,5400,5400,4400,4400,5400,5400,6600,9900,5400,5400,5400,5400,5400,5400,5400,5400,5400,6600,8100,12100,5400,5400,5400,5400,5400,6600,4400,4400,4400,4400,5400,9900,4400,3600,4400,4400,4400
"10 мая знак зодиака",4300,4200,3600,3600,"Anywhere","",0,"",-24,"","","","","","","","","","","","","","","","","","","","","","","","","","","","1900","1900","2900","1900","1900","1900","1900","1900","1900","1900","2400","1900","","2400","3600","1900","2400","2400","1900","2400","2400","2400","2900","2400","2400","2900","3600","2400","2900","2900","2900","3600","3600","3600","4400","3600","3600","4400","6600","3600","4400","3600","3600","4400","5400","5400","5400","5400","6600","6600","9900","5400","6600","6600","5400","5400","5400","",5400,4400,5400,5400,8100,4400,4400,4400,4400,5400,4400,5400,5400,4400,5400,5400,9900,4400,4400,4400,4400,4400,4400,4400,5400,4400,5400,5400,9900,5400,5400,5400,4400,5400,4400,4400,5400,4400,4400,4400,8100,3600,3600,3600,3600,3600,3600,3600
"10 ноября знак зодиака",4400,4300,4600,5700,"Anywhere","",0,"",-22,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2400","1900","1900","2400","2900","2400","2400","2400","2400","3600","4400","3600","4400","3600","3600","3600","3600","4400","3600","4400","3600","5400","8100","4400","5400","5400","5400","5400","5400","5400","6600","6600","6600","6600","9900","",5400,4400,5400,4400,4400,3600,1600,1300,1300,1600,3600,3600,4400,4400,4400,4400,4400,4400,4400,4400,4400,5400,9900,4400,4400,4400,4400,4400,5400,5400,5400,5400,5400,6600,9900,4400,5400,4400,4400,3600,3600,3600,3600,3600,3600,5400,8100,3600
"10 октября знак зодиака",6900,6800,7500,8500,"Anywhere","",0,"",-14,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2900","1600","2900","2900","2900","2400","3600","3600","3600","5400","3600","4400","5400","4400","4400","4400","4400","4400","5400","5400","6600","9900","8100","6600","8100","8100","8100","8100","8100","8100","8100","8100","9900","14800","8100","",8100,6600,8100,6600,8100,6600,6600,8100,8100,12100,6600,6600,8100,6600,6600,6600,6600,6600,6600,8100,8100,14800,6600,6600,6600,6600,6600,8100,6600,8100,8100,9900,9900,14800,6600,6600,8100,6600,6600,5400,5400,5400,6600,6600,6600,14800,5400,5400
"10 сентября знак зодиака",3500,3400,3700,3100,"Anywhere","",0,"",-19,"","","","","","","","","","","","","","","","","","","","","","","","","","","","1600","1300","1300","1600","1600","1600","2400","1600","1300","1600","1600","1000","","1600","1600","1600","1600","1900","2900","1900","1900","1900","1900","1600","2400","1900","1900","1600","2400","2400","2900","2400","1900","2900","","","","","","","","","","","","3600","4400","4400","4400","5400","4400","4400","5400","5400","8100","4400","4400","",4400,3600,3600,3600,3600,3600,3600,4400,6600,4400,3600,3600,4400,3600,3600,3600,3600,2900,3600,4400,9900,3600,3600,3600,4400,3600,3600,3600,3600,3600,4400,4400,8100,3600,3600,3600,4400,2900,3600,2900,2900,2900,2900,3600,6600,2900,2900,3600
"10 февраля знак зодиака",5100,5000,4200,4400,"Anywhere","",0,"",-23,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5400","5400","3600","3600","3600","3600","4400","4400","4400","4400","5400","6600","8100","9900","6600","6600","6600","6600","6600","6600","6600","6600","6600","",8100,9900,6600,5400,5400,5400,5400,5400,5400,5400,5400,5400,8100,12100,5400,5400,4400,4400,5400,5400,5400,5400,5400,5400,8100,12100,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,6600,12100,4400,4400,4400,4400,4400,4400,3600,4400,4400,4400
"10 января знак зодиака",4300,3800,3700,3800,"Anywhere","",0,"",-29,"","","","","","","","","","","","","","","","","","","","","","","","","","","","1600","1600","1600","1600","1600","1900","1600","1900","1900","2400","3600","1900","","1900","1900","1900","2400","2400","1900","2400","2400","2900","3600","1600","2400","2400","2400","2400","2400","2900","2400","2900","2900","3600","6600","3600","3600","3600","3600","3600","3600","3600","3600","4400","5400","5400","9900","5400","6600","5400","6600","6600","6600","6600","6600","5400","6600","",9900,4400,5400,4400,5400,4400,5400,5400,4400,5400,5400,5400,9900,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,5400,9900,4400,4400,4400,4400,4400,5400,4400,4400,5400,5400,5400,9900,4400,4400,3600,3600,3600,3600,3600,3600,3600,3600,4400
"10.10 знак зодиака",390,390,400,430,"Anywhere","",0,"",-14,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",320,320,320,320,320,320,390,320,390,480,390,390,390,390,390,390,320,390,320,320,320,480,320,390,390,390,390,390,390,320,390,390,390,720,480,390,390,390,390,390,390,390,320,390,390,590,390,320
"100 процентная совместимость знаков зодиака",440,420,360,360,"Anywhere","",0,"",-49,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1900,1000,2400,2400,2400,1900,2400,1900,1600,1600,1900,1900,1600,1300,1600,1600,1600,1600,1300,1300,1000,1300,1300,1300,1300,1300,1300,880,1000,880,720,720,720,720,590,590,720,590,480,480,390,480,390,390,320,390,320,390
"100 процентная совместимость знаков зодиака в процентах",500,430,290,260,"Anywhere","",0,"",-77,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",880,590,1300,1600,1900,1000,1000,720,1000,1000,1000,1000,1300,1000,1000,880,880,720,880,880,880,1000,1000,1000,1000,1300,1300,1000,1300,1300,1600,1300,1300,1300,1300,1300,1300,1000,720,480,390,390,320,320,320,320,260,210
"10001 гороскоп",480,470,440,390,"Anywhere","",0,"",-34,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",880,720,720,880,880,720,720,720,720,720,720,720,720,590,590,590,720,720,720,720,720,720,590,590,720,480,590,480,590,590,590,590,590,480,590,590,590,480,590,480,590,480,590,480,390,320,390,480
"1001 гороскоп",25800,25700,24600,22200,"Anywhere","",0,"",-12,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40500","33100","33100","27100","33100","33100","33100","33100","33100","33100","40500","40500","40500","33100","33100","33100","33100","33100","40500","40500","33100","40500","49500","",49500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,33100,40500,33100,40500,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,27100,33100,27100,27100,27100,27100,27100,27100,27100,27100,27100,27100,27100,27100,27100,27100,22200,22200,22200
"1001 гороскоп весы",940,910,860,770,"Anywhere","",0,"",-41,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1600,1600,2400,2900,2900,2400,2400,2400,1900,1900,1900,1900,1900,1900,1900,1600,1600,1300,1600,1600,1600,1600,1600,1900,1900,2400,1900,1900,1900,1600,1600,1600,1300,1600,1300,1300,1300,1000,1000,880,1000,1000,1000,1000,880,880,720,720
"1001 гороскоп водолей",1000,960,880,770,"Anywhere","",0,"",-42,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",720,480,880,1600,1600,1300,1000,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1000,880,1000,1000,1300,1300,1600,1900,1900,1900,2400,1900,1900,1900,1900,1600,1600,1300,1600,1600,1300,1000,1000,1000,1000,1000,1000,1000,880,720,720
"1001 гороскоп дева",1000,1000,1000,960,"Anywhere","",0,"",-29,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",590,480,390,480,480,590,590,720,720,590,720,720,720,720,880,880,1000,880,720,720,880,1000,1300,1300,1600,1900,1900,1900,1900,1600,1600,1300,1300,1600,1300,1300,1300,1000,1000,1000,1300,1300,1300,1000,1000,1000,1000,880
"1001 гороскоп козерог",350,330,300,280,"Anywhere","",0,"",-12,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",320,320,320,260,320,390,390,480,480,390,590,480,480,390,480,390,480,390,480,590,390,390,390,480,590,480,480,480,480,390,390,390,320,390,390,390,590,480,390,390,320,260,260,320,390,260,320,260
"1001 гороскоп лев",320,320,290,240,"Anywhere","",0,"",-34,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",880,720,880,1000,1000,880,880,720,720,720,590,720,590,480,480,390,390,480,480,390,390,390,480,480,480,390,390,320,320,320,320,320,390,390,320,320,320,260,390,390,390,390,390,390,260,260,210,260
"1001 гороскоп на сегодня",670,660,680,590,"Anywhere","",0,"",-49,"","","","","","","","","","","","","","","","70","40","90","70","70","90","70","70","110","70","70","90","70","70","70","90","110","210","210","210","210","210","260","","","","","","","","","","","","","","390","480","590","480","390","320","320","320","320","480","590","320","","","","","","","","","","","","","","","","","","","","","","",1900,1900,4400,6600,6600,3600,2900,2900,2900,2400,2900,2900,2400,1900,2400,2400,1900,1900,1300,1300,1300,1600,1300,1000,1000,1300,1300,1900,1600,1600,1000,1000,1300,1300,880,720,720,590,590,590,720,720,880,880,590,590,590,590
"1001 гороскоп овен",250,240,230,210,"Anywhere","",0,"",0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",480,480,390,390,390,480,390,390,390,480,390,390,480,390,480,390,480,390,390,390,320,480,480,480,390,390,390,320,320,210,170,210,170,260,260,320,390,260,260,260,260,260,260,260,260,260,170,210
"1001 гороскоп рак",500,490,460,480,"Anywhere","",0,"",-12,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",590,590,590,590,590,590,590,590,590,590,480,480,480,480,480,480,480,390,480,480,590,590,480,480,590,480,590,480,480,480,590,590,590,590,590,590,590,480,720,590,480,390,480,390,480,590,480,390
"1001 гороскоп рыбы",200,200,230,240,"Anywhere","",0,"",74,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",480,480,390,320,320,390,320,320,320,320,260,260,320,260,260,260,320,260,210,170,170,170,210,210,210,210,210,210,170,170,170,140,110,140,140,170,170,140,170,170,170,210,210,260,210,210,260,260
"1001 гороскоп скорпион",140,140,130,140,"Anywhere","",0,"",-33,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",480,390,480,720,720,480,480,590,480,390,390,390,320,320,390,390,320,260,210,260,260,210,260,260,260,210,210,210,170,170,140,110,170,210,170,210,170,140,210,140,170,170,170,110,90,110,170,140
"1001 гороскоп совместимость",120,110,90,90,"Anywhere","",0,"",-63,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",320,320,320,480,480,480,590,590,480,320,320,320,320,260,210,170,170,170,210,260,210,210,210,260,210,210,210,170,170,210,170,210,210,260,210,140,170,170,170,170,110,90,110,90,90,70,90,110
"1001 гороскоп стрелец",960,930,900,880,"Anywhere","",0,"",-27,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1600,1300,1900,2400,2400,1900,1900,1900,1900,1900,1900,1600,1600,1600,1600,1600,1600,1300,1300,1300,1000,1300,1300,1300,1600,1300,1600,1600,1600,1600,1300,1000,1300,1300,1000,1000,1300,1000,880,1000,1000,1000,1000,880,880,880,880,880
"1001goroskop",920,910,900,880,"Anywhere","",0,"",0,"","","","","","","","","","","","","1900","2400","2400","2400","2900","2900","2400","2400","2400","2400","2400","2400","","","","","","","","","","","","","","","","","2400","2900","3600","2900","2900","2400","2900","2900","2900","2900","2900","2900","2400","2900","2900","2900","2900","2900","","","","1600","1300","1300","1000","1000","1300","1000","1000","880","880","880","880","","","","","","","","","","","","",1600,1300,1300,1000,1000,1000,1300,1000,1000,1000,1000,1000,1000,880,880,880,880,880,1000,1000,880,880,880,880,880,880,880,880,1000,880,880,1000,880,880,880,1000,1000,880,1000,1000,880,880,1000,880,880,880,880,880
"101 гороскоп",880,870,840,770,"Anywhere","",0,"",-5,"","","","","","","","","","","","","1000","1000","1000","1000","1000","1000","880","1000","1000","1300","1300","1300","","","","","","","","","","","","","","","","","1600","1600","1600","1600","1600","1600","1600","1900","1900","1600","1600","1600","1600","1600","1300","1600","1600","1600","","","","","","","","","","","","","","","","","","","","","","","","","","","",1300,1000,1000,1000,1000,1000,1000,1000,1000,1000,1300,880,1000,1000,1000,1000,1000,1000,880,1000,880,880,880,880,880,880,880,880,880,880,880,1000,880,1000,720,880,1000,880,1000,880,880,880,1000,880,880,880,720,720
"11 апреля знак зодиака",4700,4700,4000,4100,"Anywhere","",0,"",-28,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2400","2400","2400","2900","2900","2900","2900","2400","2900","4400","2900","2400","2900","2900","2400","2900","3600","4400","4400","3600","4400","5400","3600","3600","4400","4400","4400","5400","5400","5400","6600","6600","6600","9900","6600","5400","6600","6600","5400","6600","6600","",6600,5400,6600,9900,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,6600,22200,5400,4400,4400,5400,4400,4400,5400,5400,6600,5400,6600,18100,8100,5400,5400,5400,5400,5400,5400,5400,5400,4400,5400,9900,4400,3600,3600,4400,3600,4400,3600,4400
"11 декабря знак зодиака",4700,4600,4900,5900,"Anywhere","",0,"",-23,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4400","3600","2900","3600","3600","3600","3600","4400","4400","5400","6600","9900","6600","5400","6600","5400","5400","5400","6600","6600","6600","6600","8100","",6600,5400,5400,5400,5400,5400,5400,5400,5400,6600,6600,9900,5400,4400,4400,4400,4400,4400,5400,5400,5400,5400,6600,9900,5400,4400,4400,5400,4400,5400,5400,5400,5400,5400,6600,12100,5400,4400,4400,4400,4400,4400,4400,3600,3600,4400,5400,8100
"11 дом гороскопа",170,170,120,100,"Anywhere","",0,"",-76,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1600,880,880,1000,1300,880,1000,1000,1000,1000,1000,880,1000,880,1300,1300,1000,880,1300,880,880,1600,1000,720,880,590,590,720,590,320,390,390,480,480,480,260,260,210,320,170,210,210,170,140,140,110,90,110
"11 июля знак зодиака",4500,4500,4600,3800,"Anywhere","",0,"",-24,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2900","2400","2400","2900","2900","2900","5400","2900","2900","3600","3600","4400","4400","3600","3600","4400","4400","4400","6600","4400","3600","4400","5400","5400","5400","5400","5400","5400","5400","6600","9900","5400","5400","5400","5400","",5400,4400,5400,4400,5400,5400,8100,4400,4400,4400,4400,4400,5400,4400,4400,4400,4400,5400,9900,5400,4400,4400,4400,4400,5400,4400,4400,4400,5400,5400,9900,5400,4400,5400,5400,4400,5400,4400,4400,4400,4400,4400,8100,4400,3600,4400,3600,3600
